Team #,Wins,Losses,Ties,CS,OCS,PD
1039,2,6,0,16,61,-61
1040,0,8,0,15.5,52.5,-201
1120,2,6,0,21.5,53,-48
1296,0,8,0,21,42,-169
1338,1,7,0,15,59.5,-99
1347,2,6,0,17,58.5,+40
1353,6,1,1,12.5,84,+38
1355,5,3,0,20.5,52,+14
1368,6,2,0,22.5,54.5,+24
1369,8,0,0,15,80,+46
1380,4,3,1,14.5,66,-7
1466,7,1,0,14,65.5,+76
1467,3,4,1,23,63,+27
1500,7,1,0,18,51,-153
1501,4,4,0,19,68.5,+71
1533,2,6,0,13.5,75.5,+74
1537,6,2,0,16.5,69.5,-27
1645,4,4,0,12,71,+38
1646,3,4,1,17,56.5,-120
1653,4,4,0,18,58,+3
1662,2,6,0,13.5,76,+11
