Team #,Wins,Losses,Ties,CS,OCS,PD
1008,1,7,0,9,60.5,-68
1022,7,1,0,15,75,+34
1023,3,5,0,13.5,65.5,-3
1024,7,1,0,13.5,72.5,+113
1109,8,0,0,15,78,+105
1216,6,2,0,17,63.5,+42
1345,2,6,0,14,50.5,-71
1390,4,3,1,21,64.5,+10
1392,1,7,0,9,51.5,-98
1415,3,5,0,14.5,60,-7
1429,3,4,1,19.5,64,-2
1430,4,4,0,18,51.5,+6
1431,3,5,0,20,66,+6
1432,3,5,0,15.5,58.5,-41
1433,5,2,1,20.5,63,+13
1434,2,6,0,11.5,60.5,-52
1443,6,2,0,13.5,74.5,+40
1444,3,5,0,15,61,-4
1515,7,1,0,14.5,82,+32
1516,3,5,0,20,64.5,-68
1562,3,5,0,21,60.5,-45
1563,6,1,1,19,69.5,+44
1602,3,5,0,14,59.5,-4
1690,2,6,0,22,52,+3
1691,4,4,0,14.5,67.5,+38
1703,3,5,0,16,68,-23
