Team #,Wins,Losses,Ties,CS,OCS,PD
1032,4,4,0,21,56,-34
1050,7,0,1,15.5,72.5,+22
1051,8,0,0,12,68.5,+33
1130,5,3,0,17.5,61.5,+41
1131,4,4,0,18.5,68,+13
1168,5,2,1,22.5,42.5,-41
1188,6,2,0,12,78,+11
1189,2,6,0,17,67.5,+75
1208,4,4,0,13.5,69,-58
1244,7,1,0,20.5,50,-116
1245,6,2,0,23.5,59,-40
1279,2,5,1,15,53,-158
1298,1,6,1,13.5,72,+2
1362,3,5,0,20.5,56,-3
1421,0,8,0,14.5,63,-62
1485,3,4,1,12.5,78.5,+59
1503,2,5,1,14.5,43,-113
1528,2,6,0,18,51.5,-66
1532,8,0,0,18.5,56.5,+63
1606,1,7,0,13,64,-66
1608,3,5,0,16.5,68.5,-10
1632,5,3,0,22,56.5,-30
