Team #,Wins,Losses,Ties,CS,OCS,PD
1003,1,7,0,21,47.5,-76
1076,4,4,0,20,52,+26
1077,3,3,2,20.5,60,+45
1084,3,5,0,9,66,-23
1125,7,1,0,12.5,67.5,-29
1126,4,4,0,16.5,57,+3
1150,2,6,0,19,47,-20
1151,3,5,0,17,56,-62
1164,4,4,0,18.5,61.5,-45
1173,3,5,0,22,52.5,-81
1239,2,6,0,17,71,+27
1241,7,1,0,15,82,+80
1266,5,2,1,20.5,64,+17
1267,7,1,0,17,72.5,+46
1309,8,0,0,17,71,+17
1310,5,1,2,11,68,-47
1406,4,2,2,15.5,56,-36
1407,3,4,1,16,75.5,+40
1468,1,7,0,16,68,+9
1540,2,6,0,11,67.5,+8
1556,5,1,2,16,55,-73
1557,4,4,0,11,66.5,-71
1568,4,4,0,12,59,-16
1569,3,5,0,13,55,-107
1575,3,5,0,16.5,73,+4
