Team #,Wins,Losses,Ties,CS,OCS,PD
1001,8,0,0,16.5,70.5,+78
1002,6,2,0,19.5,72.5,+36
1049,6,2,0,13.5,71,+54
1147,0,8,0,16.5,47,-120
1152,4,3,1,20.5,69.5,+17
1176,4,4,0,13.5,59.5,-25
1190,1,6,1,16.5,49.5,-141
1200,6,2,0,11.5,67,+94
1201,3,5,0,20.5,55.5,+3
1204,3,5,0,20.5,62.5,-14
1205,2,6,0,16.5,55.5,-28
1259,4,4,0,16,66.5,+55
1260,5,3,0,14,73,+10
1307,4,4,0,16.5,56.5,+5
1408,3,5,0,11,64.5,+14
1409,6,2,0,18,66.5,+64
1410,3,4,1,18.5,58,-2
1451,1,7,0,14,67.5,-67
1519,5,2,1,19.5,73.5,+47
1520,7,1,0,13.5,73.5,+49
1534,3,5,0,16.5,62,-24
1577,5,3,0,18,59,+16
1671,2,5,1,14.5,65.5,-66
1803,2,5,1,8.5,70,-55
