Team #,Wins,Losses,Ties,CS,OCS,PD
1006,3,5,0,19,56.5,-41
1025,6,2,0,16.5,72,+71
1026,6,2,0,19,70.5,+44
1034,7,1,0,16.5,68,+37
1036,6,1,1,18,61.5,+71
1071,5,3,0,18.5,65.5,-2
1209,4,3,1,11.5,61.5,-66
1210,2,6,0,15.5,69.5,+36
1211,5,3,0,13.5,75.5,+26
1217,5,2,1,15,73.5,+95
1218,8,0,0,21.5,59,-12
1247,6,2,0,15,65.5,+6
1249,3,4,1,15,59,-28
1256,3,5,0,14.5,61.5,-110
1282,2,6,0,14.5,48,-84
1289,1,7,0,16,58,-41
1293,2,5,1,19,66,0
1308,3,5,0,9,58.5,-62
1330,4,4,0,16.5,66.5,-18
1452,2,6,0,16,63,-6
1455,3,5,0,17.5,64.5,-7
1456,5,3,0,15.5,60,-80
1482,3,5,0,16,62.5,+20
1504,3,4,1,19.5,60,+4
1561,4,4,0,18,64,-39
1564,4,4,0,13.5,56.5,-4
