Team #,Wins,Losses,Ties,CS,OCS,PD
1035,5,3,0,20,67,+78
1055,7,1,0,18,80.5,+81
1105,4,4,0,16,58,+31
1127,4,4,0,14,71.5,+29
1128,3,5,0,17,68,-46
1165,4,4,0,19,61.5,+14
1175,4,4,0,15,65,0
1177,3,5,0,23,57,+2
1230,2,6,0,11,55,-38
1246,6,2,0,17.5,79.5,+35
1248,6,0,2,14,75.5,+60
1269,4,4,0,20,56,-18
1270,2,4,2,23,60.5,-11
1373,3,3,2,14.5,63,-6
1379,2,6,0,11.5,51.5,-52
1402,6,2,0,14,81,+57
1403,7,1,0,14.5,59,-37
1484,1,5,2,11,65.5,-81
1493,3,5,0,13,74,+55
1523,6,2,0,19.5,60.5,-33
1524,3,4,1,18,61,+26
1527,6,2,0,19,52,-72
1548,2,6,0,14.5,59.5,-29
1636,2,5,1,15,54.5,-68
1710,2,6,0,10,56.5,-78
