Team #,Wins,Losses,Ties,CS,OCS,PD
1009,4,4,0,16,66,+46
1012,6,2,0,12.5,77,+32
1089,2,5,1,20,53,+3
1098,7,1,0,14,70,+30
1099,5,2,1,12.5,56.5,-63
1132,1,7,0,20.5,62,+36
1143,4,4,0,22.5,54,-3
1220,5,3,0,9.5,73.5,+87
1221,4,4,0,13,79.5,+98
1227,5,3,0,20.5,56,-71
1321,7,1,0,18.5,62,-52
1322,8,0,0,17.5,58.5,-42
1346,2,6,0,20,60.5,-12
1364,3,4,1,22,65.5,-19
1419,6,1,1,15.5,60.5,-199
1420,3,5,0,15.5,72.5,+60
1441,3,5,0,14,72.5,+70
1506,3,5,0,18.5,63,-35
1508,2,6,0,11,56,-44
1549,6,1,1,18,67.5,+24
1551,8,0,0,10.5,69.5,-156
1553,2,5,1,20,46,-162
1644,1,7,0,12.5,56.5,-70
1649,4,4,0,12,61,-61
