Team #,Wins,Losses,Ties,CS,OCS,PD
1046,6,2,0,11.5,75,+90
1048,5,3,0,16,62,+48
1052,4,4,0,19.5,57.5,+37
1073,8,0,0,16.5,63.5,-33
1139,5,3,0,16,59,-38
1162,2,6,0,17,71,+90
1261,7,1,0,11,61,0
1262,3,5,0,9,59,-57
1319,1,7,0,18,70.5,-45
1331,4,4,0,12,74,+63
1361,7,1,0,13.5,75,-43
1363,3,5,0,18,50.5,-22
1365,2,6,0,15.5,78,-6
1442,4,3,1,21.5,58,+46
1480,5,2,1,19,59.5,-43
1486,3,5,0,17,61,-69
1494,3,5,0,20.5,52.5,-54
1604,1,7,0,13,59.5,-135
1605,1,7,0,17,59,+61
1640,5,3,0,18,67,+26
1641,5,3,0,15,60,-64
