Team #,Wins,Losses,Ties,CS,OCS,PD
1064,3,5,0,18,64.5,-7
1065,6,2,0,13.5,68,+48
1083,3,5,0,17,58,-34
1087,2,5,1,17.5,61,+1
1088,3,4,1,18.5,64,+7
1202,5,3,0,18,66.5,+10
1240,8,0,0,17,71.5,+76
1242,7,1,0,16,55,-8
1290,5,3,0,12,48.5,-23
1291,2,6,0,13.5,70,+44
1304,5,2,1,19,60.5,+13
1376,4,4,0,14.5,73,-6
1377,5,3,0,17.5,57.5,-93
1417,1,6,1,19.5,69,-9
1418,3,5,0,14.5,56,-56
1458,1,7,0,10.5,67.5,-4
1496,3,5,0,18.5,66.5,+37
1512,6,2,0,17.5,71,+26
1513,7,1,0,13.5,63.5,-22
1589,3,4,1,19,61.5,-22
1623,3,5,0,15.5,66,-1
1631,4,3,1,19,61.5,-39
1693,3,5,0,9,62.5,-53
