Team #,Wins,Losses,Ties,CS,OCS,PD
1039,6,1,1,15,79.5,+99
1070,5,2,1,14.5,78,+20
1073,2,5,1,23,56.5,-79
1106,4,3,1,9.5,66.5,+49
1107,2,6,0,15.5,57,+18
1128,4,4,0,19.5,59,-10
1129,3,4,1,18,62.5,+20
1185,4,4,0,15,64,+30
1187,3,4,1,15,63,-14
1259,7,1,0,14,68,+94
1261,6,2,0,20,70,0
1318,5,2,1,16,63,+19
1319,1,6,1,18,57.5,-44
1421,6,1,1,14.5,75,+39
1422,3,5,0,14.5,58.5,-29
1437,4,3,1,19,62,-13
1438,1,7,0,13.5,54,-85
1448,4,4,0,17.5,70,+25
1493,5,2,1,18,70,+48
1495,3,4,1,22,67,-14
1517,7,1,0,14.5,81,+77
1520,6,2,0,18.5,71,+44
1584,3,4,1,18.5,68.5,-5
1585,2,6,0,16.5,47,+8
1635,6,2,0,18,71.5,+31
1663,4,4,0,14.5,67,+12
1678,2,6,0,20.5,58.5,-52
1712,3,5,0,12.5,64,+3
1715,5,3,0,18,63.5,-25
1722,1,6,1,13,48,-105
1734,1,7,0,8.5,52,-207
1801,3,5,0,7,55,+46
