Team #,Wins,Losses,Ties,CS,OCS,PD
1136,7,1,0,17,70,+62
1137,4,3,1,20.5,66,+1
1190,3,3,2,16.5,70,+22
1191,4,4,0,18,62,+24
1200,2,6,0,20,58,-14
1229,6,2,0,17,76,+34
1230,5,2,1,20,65.5,+33
1240,4,4,0,17,57.5,-8
1241,2,6,0,15,61.5,-53
1313,4,4,0,14.5,61.5,+25
1314,0,8,0,12.5,57.5,-88
1371,7,0,1,14,77.5,+83
1372,4,4,0,16.5,67,-8
1388,4,4,0,22.5,63,-12
1389,3,4,1,18.5,56,-53
1392,3,5,0,11,57,-90
1411,7,1,0,14,72.5,+95
1412,6,2,0,18,65,-30
1413,3,5,0,10,61,-61
1432,3,5,0,16.5,56,-93
1488,1,7,0,10,50.5,-30
