Team #,Wins,Losses,Ties,CS,OCS,PD
1014,2,6,0,17,53.5,-47
1040,7,1,0,15,68,+62
1093,8,0,0,18,71,+21
1094,4,4,0,14,69,+11
1130,4,4,0,14,69,+10
1131,3,5,0,16.5,65.5,+42
1184,4,3,1,15.5,63.5,-7
1186,4,4,0,14,75.5,+72
1258,7,1,0,19,62,+2
1260,5,3,0,13,66,+44
1467,3,4,1,18.5,61.5,+12
1496,5,3,0,17,60,+8
1606,3,5,0,14,59,-50
1607,2,5,1,18.5,69,+2
1679,5,3,0,21.5,61.5,+9
1685,3,5,0,16.5,54.5,-33
1686,2,5,1,19,61.5,+31
1687,5,3,0,20.5,64.5,+5
1688,5,2,1,12.5,64,-107
1706,2,6,0,12.5,52.5,-115
1707,0,7,1,10,62.5,-75
