Team #,Wins,Losses,Ties,CS,OCS,PD
1008,5,2,1,13.5,78.5,+62
1009,3,5,0,17.5,61.5,-4
1087,3,4,1,16,67,-23
1116,7,0,1,19,67.5,+59
1276,6,1,1,18.5,65.5,+15
1277,3,4,1,16.5,54,-102
1291,0,7,1,11.5,67,+32
1303,4,3,1,23,50.5,+57
1368,4,4,0,14.5,68,+12
1377,4,4,0,13,67,+10
1403,5,2,1,15.5,68,+7
1416,5,3,0,18.5,52.5,-90
1417,0,8,0,18.5,59,+23
1443,8,0,0,16,71.5,+18
1444,4,2,2,15.5,59.5,-82
1446,5,2,1,17,66,+15
1461,3,5,0,21,70.5,-38
1462,5,3,0,15,62,-77
1528,3,5,0,18,55.5,-42
1529,1,7,0,14.5,55.5,-86
1561,3,5,0,10.5,64,-12
1640,1,6,1,16.5,63.5,-13
1684,3,5,0,14,72,+18
1697,3,5,0,12,59.5,+12
