Team #,Wins,Losses,Ties,CS,OCS,PD
1006,0,6,2,21.5,55,-47
1007,2,5,1,8.5,66,-63
1028,6,2,0,16,70,+37
1041,2,5,1,17,59.5,-59
1074,5,3,0,16,75,+12
1075,7,1,0,13,77.5,+64
1100,5,3,0,14.5,69.5,+16
1192,3,5,0,19.5,58.5,-53
1337,2,6,0,22,65,-14
1338,4,3,1,12.5,61.5,+18
1398,4,3,1,15.5,57,+21
1399,4,4,0,19,60,+36
1430,4,2,2,16.5,61,0
1454,4,4,0,17.5,55,-38
1456,4,4,0,14.5,59.5,+8
1458,6,2,0,19.5,65.5,+18
1500,2,5,1,15.5,68,-16
1552,0,7,1,14,59,-64
1560,3,5,0,20.5,53.5,-22
1672,1,7,0,13.5,55.5,-46
1693,8,0,0,10.5,76.5,+86
