Team #,Wins,Losses,Ties,CS,OCS,PD
1023,4,3,1,19.5,75,+3
1024,4,4,0,18,59,-1
1025,2,6,0,14,53,-118
1079,7,1,0,14.5,78,+84
1081,5,2,1,13,66,+9
1156,5,3,0,19,62,+90
1157,2,5,1,22.5,55.5,-36
1173,8,0,0,14,81.5,+81
1174,3,5,0,13.5,65,+15
1250,4,3,1,16,62.5,-12
1270,2,5,1,19,60,0
1271,4,4,0,13.5,62.5,+26
1274,7,1,0,12,76.5,+77
1275,5,3,0,19,63.5,-26
1284,2,6,0,13,61.5,-31
1293,2,5,1,17,63,+8
1294,3,5,0,22,55.5,-34
1295,1,6,1,16.5,51.5,-59
1394,4,3,1,19,60.5,+2
1395,1,6,1,13,56.5,-67
1440,5,2,1,16.5,73.5,+25
1801,2,4,2,7.5,66,-36
