Team #,Wins,Losses,Ties,CS,OCS,PD
1035,5,2,1,17.5,69,+83
1036,3,5,0,21.5,54.5,-3
1058,6,1,1,12.5,77.5,+56
1059,1,7,0,18,40.5,-53
1061,6,2,0,16,76,+43
1062,5,2,1,15.5,66.5,+80
1083,3,5,0,11.5,77.5,-11
1084,4,4,0,16,63,+4
1095,5,2,1,18,74.5,+13
1104,1,7,0,16,50.5,-99
1155,3,5,0,16.5,58.5,-56
1179,8,0,0,12.5,80,+55
1180,4,4,0,17,63.5,+26
1215,3,4,1,18.5,59,-16
1248,6,2,0,14.5,71.5,+91
1249,2,5,1,21,64,-43
1278,3,4,1,21,65.5,+28
1285,6,2,0,13,72.5,-3
1289,6,1,1,13.5,82,+56
1290,1,7,0,21.5,61,-99
1297,2,5,1,22,52,-50
1298,2,6,0,8,76,-53
1375,0,8,0,20.5,41.5,-144
1402,3,5,0,15,62,-32
1484,1,7,0,20,42,-44
1602,2,6,0,21.5,53.5,-81
1616,7,1,0,16,62,+94
1617,5,2,1,15.5,65,+39
1621,5,3,0,16,64,+25
1622,4,4,0,10,70.5,-10
1629,3,5,0,11,63,-1
