Team #,Wins,Losses,Ties,CS,OCS,PD
1068,2,6,0,22,50,-65
1069,2,6,0,13.5,62.5,-29
1089,2,6,0,11.5,61,-108
1098,4,4,0,17,70.5,-15
1195,5,3,0,16.5,60.5,+29
1196,4,4,0,16.5,72,-6
1201,4,4,0,22,60,-4
1202,1,7,0,12,51,-86
1209,3,5,0,9,74,-23
1210,1,6,1,17.5,65,-67
1262,7,1,0,16.5,61,-68
1384,1,6,1,17.5,68.5,+91
1400,6,2,0,14.5,74,+11
1401,5,1,2,17,62,-26
1480,4,4,0,10.5,71.5,+96
1490,8,0,0,15.5,64.5,+53
1491,4,3,1,17,59,+46
1540,5,3,0,17.5,59.5,+30
1557,8,0,0,18.5,68.5,+50
1558,4,3,1,16.5,55,-63
1597,5,3,0,18,55,-120
1598,2,6,0,16,63.5,-6
