Team #,Wins,Losses,Ties,CS,OCS,PD
1045,6,2,0,17,68.5,+35
1046,5,3,0,19.5,66.5,+17
1051,5,3,0,18.5,68.5,+19
1052,4,4,0,19,51.5,+24
1063,7,0,1,15.5,69,+81
1108,4,4,0,16.5,69,0
1160,3,4,1,14.5,64.5,-6
1247,4,4,0,19.5,66.5,+20
1253,4,4,0,18,64.5,+21
1254,5,2,1,14,72,+10
1309,2,5,1,16,61,-70
1351,3,4,1,18,56.5,-18
1352,4,4,0,17.5,71.5,-4
1441,6,2,0,19,62.5,+39
1442,2,4,2,17.5,65.5,-27
1475,4,4,0,19,65,-28
1476,3,5,0,16.5,58,-40
1486,1,7,0,20.5,50.5,-62
1538,4,4,0,15,66.5,-6
1539,1,5,2,19,59,-73
1541,7,1,0,13,74,+83
1542,6,2,0,15,64.5,+60
1547,2,6,0,12,53,-74
1548,0,8,0,13.5,52,-91
1588,8,0,0,13.5,61.5,-24
1591,2,6,0,15,71,-24
1609,3,4,1,11.5,61.5,-15
1653,3,5,0,16.5,67.5,-39
1654,2,6,0,9,65,+52
