Team #,Wins,Losses,Ties,CS,OCS,PD
1012,4,4,0,16.5,64,+23
1013,4,4,0,16.5,63.5,-1
1016,7,1,0,19,67,+58
1017,6,1,1,11,74.5,+97
1037,4,4,0,23.5,54.5,-20
1077,7,1,0,15.5,69,+64
1101,4,4,0,20,62,-51
1154,4,4,0,10.5,67.5,+10
1198,4,3,1,18.5,68,+25
1199,6,2,0,18,81.5,+37
1213,2,5,1,19.5,58.5,+21
1214,4,4,0,12,70,+32
1217,6,2,0,21.5,70,+62
1218,5,2,1,15.5,66,+41
1296,3,5,0,14.5,65.5,+28
1299,0,7,1,16.5,55.5,-164
1323,2,6,0,12,57,-101
1410,7,1,0,17,57.5,-59
1667,2,5,1,10,59.5,-102
1671,0,8,0,16.5,57.5,-52
1705,2,6,0,14.5,43.5,-102
