Team #,Wins,Losses,Ties,CS,OCS,PD
1001,8,0,0,18,76,+103
1002,6,2,0,15,72,+50
1066,6,2,0,16.5,59.5,+20
1067,4,4,0,17,63,-3
1109,3,4,1,15.5,65.5,-35
1161,2,5,1,13.5,64,-21
1304,3,5,0,13.5,67.5,-34
1306,5,3,0,20,60,-6
1329,6,2,0,15,71,+25
1497,2,6,0,14.5,58.5,-45
1535,1,5,2,20.5,69,-41
1536,3,5,0,18,56,-20
1589,6,2,0,17.5,68.5,+43
1590,3,5,0,22.5,57.5,-16
1620,0,7,1,13,49.5,-41
1644,2,6,0,14.5,52,-35
1652,6,1,1,16,69,+70
1659,4,4,0,16,65.5,+11
1661,2,6,0,10.5,70,-43
1669,6,1,1,14,76,+26
1670,4,4,0,14.5,61.5,+14
1703,3,3,2,18.5,65.5,-5
1704,1,6,1,20,55,-26
1801,4,2,2,10,64,+9
