Team #,Wins,Losses,Ties,CS,OCS,PD
1034,3,5,0,22.5,58,-36
1126,6,2,0,17,74.5,+78
1127,5,3,0,13,65.5,+51
1150,4,3,1,15,59.5,+53
1151,2,5,1,21,62,-2
1167,3,3,2,15,67,+1
1168,3,4,1,14.5,65.5,+50
1223,3,5,0,15,69,-37
1224,7,0,1,17,79.5,+71
1226,7,1,0,17,67,+57
1272,7,1,0,17,52.5,+6
1273,4,4,0,14,62.5,-8
1425,3,5,0,15,53.5,-150
1449,1,7,0,16,75,+47
1510,7,1,0,18.5,75.5,+27
1511,5,2,1,15.5,48,-238
1546,0,8,0,13.5,53.5,-115
1674,1,7,0,23,61.5,-6
1695,3,5,0,21,55,-56
1719,2,5,1,14,62,+10
1730,4,4,0,6.5,72.5,+50
